X:828 Y:508 DeltaX:-2 DeltaY:1
X:825 Y:508 DeltaX:-3 DeltaY:0
X:822 Y:508 DeltaX:-3 DeltaY:0
X:820 Y:508 DeltaX:-2 DeltaY:0
X:817 Y:509 DeltaX:-3 DeltaY:1
X:814 Y:509 DeltaX:-3 DeltaY:0
X:811 Y:509 DeltaX:-3 DeltaY:0
X:808 Y:509 DeltaX:-3 DeltaY:0
X:805 Y:510 DeltaX:-3 DeltaY:1
X:803 Y:510 DeltaX:-2 DeltaY:0
X:801 Y:511 DeltaX:-2 DeltaY:1
X:798 Y:512 DeltaX:-3 DeltaY:1
X:796 Y:512 DeltaX:-2 DeltaY:0
X:794 Y:512 DeltaX:-2 DeltaY:0
X:791 Y:513 DeltaX:-3 DeltaY:1
X:789 Y:514 DeltaX:-2 DeltaY:1
X:787 Y:515 DeltaX:-2 DeltaY:1
X:786 Y:515 DeltaX:-1 DeltaY:0
X:783 Y:515 DeltaX:-3 DeltaY:0
X:781 Y:516 DeltaX:-2 DeltaY:1
X:780 Y:516 DeltaX:-1 DeltaY:0
X:779 Y:517 DeltaX:-1 DeltaY:1
X:776 Y:517 DeltaX:-3 DeltaY:0
X:775 Y:518 DeltaX:-1 DeltaY:1
X:774 Y:519 DeltaX:-1 DeltaY:1
X:771 Y:519 DeltaX:-3 DeltaY:0
X:770 Y:519 DeltaX:-1 DeltaY:0
X:769 Y:520 DeltaX:-1 DeltaY:1
X:768 Y:520 DeltaX:-1 DeltaY:0
X:767 Y:521 DeltaX:-1 DeltaY:1
X:766 Y:521 DeltaX:-1 DeltaY:0
X:764 Y:522 DeltaX:-2 DeltaY:1
X:764 Y:523 DeltaX:0 DeltaY:1
X:763 Y:523 DeltaX:-1 DeltaY:0
X:762 Y:523 DeltaX:-1 DeltaY:0
X:761 Y:523 DeltaX:-1 DeltaY:0
X:760 Y:524 DeltaX:-1 DeltaY:1
X:759 Y:524 DeltaX:-1 DeltaY:0
X:758 Y:524 DeltaX:-1 DeltaY:0
X:758 Y:525 DeltaX:0 DeltaY:1
X:757 Y:526 DeltaX:-1 DeltaY:1
X:756 Y:526 DeltaX:-1 DeltaY:0
X:755 Y:527 DeltaX:-1 DeltaY:1
X:754 Y:528 DeltaX:-1 DeltaY:1
X:753 Y:528 DeltaX:-1 DeltaY:0
X:752 Y:529 DeltaX:-1 DeltaY:1
X:751 Y:530 DeltaX:-1 DeltaY:1
X:750 Y:530 DeltaX:-1 DeltaY:0
X:746 Y:533 DeltaX:-4 DeltaY:3
X:745 Y:535 DeltaX:-1 DeltaY:2
X:744 Y:535 DeltaX:-1 DeltaY:0
X:742 Y:536 DeltaX:-2 DeltaY:1
X:742 Y:537 DeltaX:0 DeltaY:1
X:741 Y:538 DeltaX:-1 DeltaY:1
X:740 Y:539 DeltaX:-1 DeltaY:1
X:738 Y:540 DeltaX:-2 DeltaY:1
X:737 Y:541 DeltaX:-1 DeltaY:1
X:736 Y:541 DeltaX:-1 DeltaY:0
X:734 Y:544 DeltaX:-2 DeltaY:3
X:733 Y:544 DeltaX:-1 DeltaY:0
X:731 Y:545 DeltaX:-2 DeltaY:1
X:730 Y:546 DeltaX:-1 DeltaY:1
X:728 Y:548 DeltaX:-2 DeltaY:2
X:726 Y:549 DeltaX:-2 DeltaY:1
X:724 Y:550 DeltaX:-2 DeltaY:1
X:723 Y:552 DeltaX:-1 DeltaY:2
X:721 Y:552 DeltaX:-2 DeltaY:0
X:718 Y:554 DeltaX:-3 DeltaY:2
X:715 Y:555 DeltaX:-3 DeltaY:1
X:714 Y:556 DeltaX:-1 DeltaY:1
X:712 Y:558 DeltaX:-2 DeltaY:2
X:708 Y:559 DeltaX:-4 DeltaY:1
X:706 Y:560 DeltaX:-2 DeltaY:1
X:704 Y:561 DeltaX:-2 DeltaY:1
X:702 Y:563 DeltaX:-2 DeltaY:2
X:699 Y:564 DeltaX:-3 DeltaY:1
X:695 Y:564 DeltaX:-4 DeltaY:0
X:692 Y:566 DeltaX:-3 DeltaY:2
X:690 Y:567 DeltaX:-2 DeltaY:1
X:687 Y:568 DeltaX:-3 DeltaY:1
X:684 Y:569 DeltaX:-3 DeltaY:1
X:680 Y:571 DeltaX:-4 DeltaY:2
X:678 Y:571 DeltaX:-2 DeltaY:0
X:674 Y:573 DeltaX:-4 DeltaY:2
X:671 Y:573 DeltaX:-3 DeltaY:0
X:667 Y:574 DeltaX:-4 DeltaY:1
X:663 Y:576 DeltaX:-4 DeltaY:2
X:659 Y:577 DeltaX:-4 DeltaY:1
X:656 Y:577 DeltaX:-3 DeltaY:0
X:653 Y:578 DeltaX:-3 DeltaY:1
X:648 Y:578 DeltaX:-5 DeltaY:0
X:644 Y:579 DeltaX:-4 DeltaY:1
X:640 Y:579 DeltaX:-4 DeltaY:0
X:636 Y:580 DeltaX:-4 DeltaY:1
X:633 Y:581 DeltaX:-3 DeltaY:1
X:630 Y:581 DeltaX:-3 DeltaY:0
X:625 Y:581 DeltaX:-5 DeltaY:0
X:620 Y:581 DeltaX:-5 DeltaY:0
X:616 Y:581 DeltaX:-4 DeltaY:0
X:612 Y:581 DeltaX:-4 DeltaY:0
X:609 Y:582 DeltaX:-3 DeltaY:1
X:605 Y:583 DeltaX:-4 DeltaY:1
X:601 Y:583 DeltaX:-4 DeltaY:0
X:596 Y:583 DeltaX:-5 DeltaY:0
X:592 Y:583 DeltaX:-4 DeltaY:0
X:588 Y:583 DeltaX:-4 DeltaY:0
X:584 Y:583 DeltaX:-4 DeltaY:0
X:581 Y:583 DeltaX:-3 DeltaY:0
X:578 Y:583 DeltaX:-3 DeltaY:0
X:574 Y:583 DeltaX:-4 DeltaY:0
X:570 Y:582 DeltaX:-4 DeltaY:-1
X:565 Y:582 DeltaX:-5 DeltaY:0
X:561 Y:581 DeltaX:-4 DeltaY:-1
X:557 Y:581 DeltaX:-4 DeltaY:0
X:555 Y:580 DeltaX:-2 DeltaY:-1
X:551 Y:580 DeltaX:-4 DeltaY:0
X:548 Y:579 DeltaX:-3 DeltaY:-1
X:543 Y:579 DeltaX:-5 DeltaY:0
X:540 Y:579 DeltaX:-3 DeltaY:0
X:537 Y:578 DeltaX:-3 DeltaY:-1
X:534 Y:577 DeltaX:-3 DeltaY:-1
X:532 Y:576 DeltaX:-2 DeltaY:-1
X:529 Y:576 DeltaX:-3 DeltaY:0
X:526 Y:576 DeltaX:-3 DeltaY:0
X:524 Y:575 DeltaX:-2 DeltaY:-1
X:522 Y:575 DeltaX:-2 DeltaY:0
X:519 Y:574 DeltaX:-3 DeltaY:-1
X:517 Y:573 DeltaX:-2 DeltaY:-1
X:515 Y:573 DeltaX:-2 DeltaY:0
X:514 Y:572 DeltaX:-1 DeltaY:-1
X:512 Y:572 DeltaX:-2 DeltaY:0
X:511 Y:571 DeltaX:-1 DeltaY:-1
X:509 Y:571 DeltaX:-2 DeltaY:0
X:508 Y:570 DeltaX:-1 DeltaY:-1
X:507 Y:570 DeltaX:-1 DeltaY:0
X:506 Y:569 DeltaX:-1 DeltaY:-1
X:505 Y:569 DeltaX:-1 DeltaY:0
X:505 Y:568 DeltaX:0 DeltaY:-1
X:504 Y:568 DeltaX:-1 DeltaY:0
X:503 Y:567 DeltaX:-1 DeltaY:-1
X:503 Y:566 DeltaX:0 DeltaY:-1
X:502 Y:566 DeltaX:-1 DeltaY:0
X:502 Y:565 DeltaX:0 DeltaY:-1
X:502 Y:564 DeltaX:0 DeltaY:-1
X:503 Y:564 DeltaX:1 DeltaY:0
X:503 Y:563 DeltaX:0 DeltaY:-1
X:504 Y:563 DeltaX:1 DeltaY:0
